Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count,Operating != Published,Rank by Passenger Count
201401,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,F,10335,False,8365.0
201303,Emirates ,EK,Emirates ,EK,International,Middle East,Deplaned,Other,International,A,10334,False,8366.5
200512,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Deplaned,Other,International,G,10334,False,8366.5
200904,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10332,False,8368.0
201310,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,F,10330,False,8369.0
200906,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Deplaned,Other,International,G,10326,False,8370.0
201411,Aeromexico,AM,Aeromexico,AM,International,Mexico,Enplaned,Other,International,A,10325,False,8371.0
200602,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Low Fare,Terminal 1,B,10323,False,8372.0
201703,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Other,International,A,10321,False,8373.5
201507,United Airlines,UA,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 3,F,10321,False,8373.5
200611,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Other,International,A,10320,False,8375.5
201502,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,International,A,10320,False,8375.5
200901,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Other,Terminal 3,F,10319,False,8377.5
201604,Compass Airlines,CP,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 2,D,10319,True,8377.5
201708,Turkish Airlines,TK,Turkish Airlines,TK,International,Europe,Deplaned,Other,International,G,10318,False,8380.0
201707,Swiss International,LX,Swiss International,LX,International,Europe,Deplaned,Other,International,G,10318,False,8380.0
201701,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,10318,False,8380.0
201709,United Airlines,UA,United Airlines,UA,International,Mexico,Enplaned,Other,Terminal 3,F,10317,False,8382.5
201707,China Eastern,MU,China Eastern,MU,International,Asia,Deplaned,Other,International,A,10317,False,8382.5
201507,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,10316,False,8385.0
201510,Aeromexico,AM,Aeromexico,AM,International,Mexico,Enplaned,Other,International,A,10316,False,8385.0
201710,Emirates ,EK,Emirates ,EK,International,Middle East,Deplaned,Other,International,A,10316,False,8385.0
201406,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,10315,False,8387.0
201104,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Other,International,A,10314,False,8388.0
200604,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10312,False,8389.0
201708,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Low Fare,International,A,10311,False,8390.0
201404,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,F,10303,False,8391.0
201010,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,10302,True,8392.0
201712,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Other,International,A,10301,False,8393.0
201204,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Other,International,G,10297,False,8394.5
200710,Air France,AF,Air France,AF,International,Europe,Deplaned,Other,International,A,10297,False,8394.5
200909,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,10296,True,8396.0
200703,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10295,False,8397.5
201405,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,10295,False,8397.5
201004,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Deplaned,Other,International,G,10294,False,8399.5
200611,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Deplaned,Other,International,G,10294,False,8399.5
201003,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Other,International,A,10290,False,8401.0
201211,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,International,A,10289,False,8402.0
200606,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Other,International,A,10288,False,8403.0
200701,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Other,International,A,10285,False,8404.0
201606,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10284,False,8405.0
201504,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,International,A,10282,False,8406.0
200810,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,10278,True,8407.0
200907,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10276,False,8408.0
200604,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Other,International,A,10275,False,8409.0
201112,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Deplaned,Other,Terminal 3,F,10274,True,8410.0
201203,Emirates ,EK,Emirates ,EK,International,Middle East,Deplaned,Other,International,A,10273,False,8411.0
201212,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10269,False,8412.5
200507,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Other,International,A,10269,False,8412.5
201207,Emirates ,EK,Emirates ,EK,International,Middle East,Enplaned,Other,International,A,10267,False,8414.0
201202,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Enplaned,Other,Terminal 3,F,10263,True,8415.0
201612,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Other,International,A,10261,False,8416.0
201801,China Eastern,MU,China Eastern,MU,International,Asia,Deplaned,Other,International,A,10258,False,8418.0
200611,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Other,International,A,10258,False,8418.0
200708,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Enplaned,Other,Terminal 3,E,10258,False,8418.0
201508,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Low Fare,International,A,10257,False,8420.5
201407,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Other,International,A,10257,False,8420.5
200805,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,10255,False,8422.0
200510,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10254,False,8423.0
